AGILITY	Agility	AGILITYROAD	Agility Road	SE	*
PBREV	PostNord Brev	PUE	PostNord - Varubrev Ekonomi	SE	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BW, BY, BZ, CA, CD, CF, CG, CH, CI, CL, CM, CN, CO, CR, CU, CV, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ER, ES, ET, FI, FJ, FK, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GW, GY, HK, HN, HR, HT, HU, ID, IE, IL, IM, IN, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MM, MN, MO, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NG, NI, NL, NO, NP, NR, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SK, SL, SM, SN, SR, ST, SV, SY, SZ, TD, TG, TH, TJ, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, US, UY, UZ, VA, VC, VE, VG, VN, VU, WS, YE, ZA, ZM, ZW
PBREV	PostNord Brev	PAG	PostNord - Varubrev Klimatekonomisk	SE	SE
PBREV	PostNord Brev	P79	PostNord - Varubrev Norge	NO	NO
PBREV	PostNord Brev	PBM	PostNord - Varubrev Retur	SE	SE
PBREV	PostNord Brev	BVAL	PostNord - Värde	SE	SE
PBREV	PostNord Brev	BVALFA	PostNord - Värde Skjutvapen	SE	SE
PBREV	PostNord Brev	EMSD2	PostNord EMS (brev/dokument)	SE	AE, AG, AI, AL, AM, AN, AO, AR, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BW, BY, BZ, CA, CD, CF, CG, CH, CI, CL, CM, CN, CO, CR, CU, CV, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ER, ES, ET, FI, FJ, FK, FO, FR, GA, GB, GD, GE, GF, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GW, GY, HK, HN, HR, HT, HU, ID, IE, IL, IN, IR, IS, IT, JM, JO, JP, KE, KG, KH, KI, KM, KN, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MM, MN, MO, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NG, NI, NL, NO, NP, NR, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PT, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SI, SK, SL, SM, SN, SR, ST, SV, TC, TD, TG, TH, TJ, TM, TN, TR, TT, TW, TZ, UA, UG, US, UY, UZ, VC, VE, VN, VU, WS, YE, ZA, ZM, ZW
PBREV	PostNord Brev	EMSP2	PostNord EMS (paket/varor)	SE	AE, AG, AI, AL, AM, AN, AO, AR, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BW, BY, BZ, CA, CD, CF, CG, CH, CI, CL, CM, CN, CO, CR, CU, CV, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ER, ES, ET, FI, FJ, FK, FO, FR, GA, GB, GD, GE, GF, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GW, GY, HK, HN, HR, HT, HU, ID, IE, IL, IN, IR, IS, IT, JM, JO, JP, KE, KG, KH, KI, KM, KN, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MM, MN, MO, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NG, NI, NL, NO, NP, NR, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PT, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SI, SK, SL, SM, SN, SR, ST, SV, TC, TD, TG, TH, TJ, TM, TN, TR, TT, TW, TZ, UA, UG, US, UY, UZ, VC, VE, VN, VU, WS, YE, ZA, ZM, ZW
PBREV	PostNord Brev	BGDA	PostNord GDA Import	*	SE
PBREV	PostNord Brev	PPA	PostNord Hemleverans	SE	SE
PBREV	PostNord Brev	RFT	PostNord RF Transport	SE	SE
PCZ	Czech Post	PCZDR	Czech Post Parcel Delivery To Hand	CZ	CZ
PCZ	Czech Post	PCZNP	Czech Post Parcel Delivery To Post Office	CZ	CZ
PDK	PostNord DK	PDK83	PostNord DK Groupage	DK	AX, DK, FI, NO, SE
PDK	PostNord DK	PDK83R	PostNord DK Groupage Return	DK	DK
PDK	PostNord DK	P19DK	PostNord DK MyPack Collect	DK	AX, DK, FI, NO, SE
PDK	PostNord DK	P19DKBP	PostNord DK MyPack Collect (Samsending)	DK	NO
PDK	PostNord DK	P19DKDPD	PostNord DK MyPack Collect	DK	AT, BE, BG, CH, CZ, DE, EE, ES, FR, GB, HR, IE, IT, LI, LT, LU, LV, MC, NL, PL, PT, RO, SI, SK
PDK	PostNord DK	PDK17	PostNord DK MyPack Home	DK	AX, DK, FI, FO, GL, IS, NO, SE
PDK	PostNord DK	PDK17BP	PostNord DK MyPack Home (Samsending)	DK	NO
PDK	PostNord DK	PDK17WORLD	PostNord DK MyPack Home	DK	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AU, AW, AZ, BA, BB, BD, BF, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BW, BY, BZ, CA, CD, CF, CG, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CY, DJ, DM, DO, DZ, EC, EG, ER, ET, FJ, FK, FM, GA, GD, GE, GF, GH, GI, GM, GN, GP, GQ, GT, GU, GW, GY, HK, HN, HT, ID, IL, IN, IQ, IR, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LK, LR, LS, LY, MA, MD, ME, MG, MK, ML, MM, MN, MO, MQ , MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NG, NI, NP, NR, NZ, OM, PA, PE, PF, PG, PH, PK, PM, PN, PR, PY, QA, RE, RS, RU, RW, SA, SB, SC, SD, SG, SH, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TG, TH, TJ, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, US, UY, UZ, VA, VC, VE, VN, VU, WS, XK, YE, YT, ZA, ZM, ZW
PDK	PostNord DK	PDK17DPD	PostNord DK MyPack Home	DK	AT, BE, BG, CH, CZ, DE, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LI, LT, LU, LV, MC, NL, PL, PT, RO, SI, SK
PDK	PostNord DK	P52DK	PostNord DK Pallet	DK	AT, AX, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SJ, SK, TR, UA
PDK	PostNord DK	P52DKR	PostNord DK Pallet Return	DK	DK
PDK	PostNord DK	PDKEP	PostNord DK Parcel	DK	DK, FO, GL, IS, NO, SE
PDK	PostNord DK	PDK18BP	PostNord DK Parcel (Samsending)	DK	NO
PDK	PostNord DK	PDK18WORLD	PostNord DK Parcel	DK	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AU, AW, AZ, BA, BB, BD, BF, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BW, BY, BZ, CA, CD, CF, CG, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CY, DJ, DM, DO, DZ, EC, EG, ER, ET, FJ, FK, FM, GA, GD, GE, GF, GH, GI, GM, GN, GP, GQ, GT, GU, GW, GY, HK, HN, HT, ID, IL, IN, IQ, IR, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LK, LR, LS, LY, MA, MD, ME, MG, MK, ML, MM, MN, MO, MQ , MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NG, NI, NP, NR, NZ, OM, PA, PE, PF, PG, PH, PK, PM, PN, PR, PY, QA, RE, RS, RU, RW, SA, SB, SC, SD, SG, SH, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TG, TH, TJ, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, US, UY, UZ, VA, VC, VE, VN, VU, WS, XK, YE, YT, ZA, ZM, ZW
PDK	PostNord DK	PDK18DPD	PostNord DK Parcel	DK	AT, BE, BG, CH, CZ, DE, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LI, LT, LU, LV, MC, NL, PL, PT, RO, SI, SK
PDK	PostNord DK	P24DK	PostNord DK Return Drop Off	DK	AX, DK, FI, FO, GL, IS, NO, SE
PDK	PostNord DK	P24DKDPD	PostNord DK Return Drop Off	DK	AT, BE, BG, CH, CZ, DE, EE, ES, FR, GB, HR, IE, IT, LI, LT, LU, LV, MC, NL, PL, PT, RO, SI, SK
PDK	PostNord DK	PDKCRP	PostNord DK Return Pickup	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, HR, HU, IE, IT, JE, LT, LU, LV, NL, PL, PT, RO, SE, SI, SK	AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK
PDK	PostNord DK	PDKLASTMILE	PostNord DK Service Logistik	DK	DK, SE
PDK	PostNord DK	P19DKSLUO	PostNord DK Service Logistik uden omdeling	DK	AX, DK, FI, FO, GL, IS, SE
PDKBREV	PostNord Breve	PDKBREVAF	PostNord DK Afleveringsattest	DK	DK
PDKBREV	PostNord Breve	PDKBREVEMS	PostNord DK EMS International Express	DK	AE, AU, BR, CA, CM, CN, HK, IN, JP, KR, NZ, PH, RU, SG, TH, TR, US, VN
PDKBREV	PostNord Breve	PDKBREVRR	PostNord DK Rekommanderet Brev	DK	*
PDKBREV	PostNord Breve	PDKBREVRQ	PostNord DK Rekommanderet Quickbrev	DK	DK
PDKBREV	PostNord Breve	PDKBREVIAT	PostNord DK Trackable RFID, Maxibrev	DK	AT, AX, BE, CH, DE, ES, FI, FR, GB, GR, HR, HU, IT, LU, LV, NL, NO, PT, SE, SI, US
PDKBREV	PostNord Breve	PDKBREVIAU	PostNord DK Trackable RFID, Storbrev	DK	AT, AX, BE, CH, DE, ES, FI, FR, GB, GR, HR, HU, IT, LU, LV, NL, NO, PT, SE, SI, US
PDKBREV	PostNord Breve	PDKBREVI	PostNord DK Tracked, Maxibrev	DK	AT, AU, AX, BE, BR, CA, CH, CN, CZ, DE, EE, ES, FI, FO, FR, GB, GL, GR, HK, HR, HU, IE, IL, IS, IT, JP, KR, LT, LU, LV, MX, MY, NL, NO, NZ, PL, PT, RU, SE, SG, SI, SK, TR, US
PDKBREV	PostNord Breve	PDKBREVISB	PostNord DK Tracked, Storbrev	DK	AT, AU, AX, BE, BR, CA, CH, CN, CZ, DE, EE, ES, FI, FO, FR, GB, GL, GR, HK, HR, HU, IE, IL, IS, IT, JP, KR, LT, LU, LV, MX, MY, NL, NO, NZ, PL, PT, RU, SE, SG, SI, SK, TR, US
PDKBREV	PostNord Breve	PDKBREVIU	PostNord DK Untracked Maxibrev	DK	*
PDKBREV	PostNord Breve	PDKBREVIUSB	PostNord DK Untracked Storbrev	DK	*
PDT	Per Damgaard Transport APS	PDTSTD	Per Damgaard Transport	*	*
PLAB	PostNord Sverige AB	P51	PostNord Comeback	SE	SE
PLAB	PostNord Sverige AB	P84	PostNord Continent Road Freight	*	*
PLAB	PostNord Sverige AB	P55PEX	PostNord Dagbud	SE	SE
PLAB	PostNord Sverige AB	P57	PostNord DPD Företagspaket Special	SE	SE
PLAB	PostNord Sverige AB	P88	PostNord DPD Import	*	*
PLAB	PostNord Sverige AB	DPD	PostNord DPD Utrikes	*, AT, AX, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK	*, AT, AX, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, HU, IE, IT, LT, LU, LV, NL, NO, PL, PT, RO, RS, SE, SI, SK
PLAB	PostNord Sverige AB	P44	PostNord Express - Bud Distribution	SE	*
PLAB	PostNord Sverige AB	P42	PostNord Express - Expresspaket	SE	SE
PLAB	PostNord Sverige AB	P50	PostNord Express - Urntransport	SE	SE
PLAB	PostNord Sverige AB	P83	PostNord Groupage	DK, FI, NO, SE	AX, DK, FI, NO, SE
PLAB	PostNord Sverige AB	P33	PostNord Hem Lokalt	SE	SE
PLAB	PostNord Sverige AB	P91	PostNord International Parcel	SE	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BW, BY, BZ, CA, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CY, CZ, DJ, DM, DO, DZ, EC, EE, EG, ER, ES, ET, FJ, FK, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MM, MN, MO, MP, MQ, MR, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SR, ST, SV, SZ, TC, TD, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW
PLAB	PostNord Sverige AB	P38CDR	PostNord Kartong med porto (CDR)	*	*
PLAB	PostNord Sverige AB	P82	PostNord Lokal Åkeritjänst - PAKET	SE	SE
PLAB	PostNord Sverige AB	P81	PostNord Lokal Åkeritjänst - PALL	SE	SE
PLAB	PostNord Sverige AB	P19	PostNord MyPack Collect	DK, NO, SE	AX, DK, FI, IE, NO, PL, SE
PLAB	PostNord Sverige AB	P19DPD	PostNord MyPack Collect	SE	AT, BE, DE, EE, ES, FR, GB, LT, LU, LV, NL, PT
PLAB	PostNord Sverige AB	P17	PostNord MyPack Home SE	DK, FI, NO, SE	DK, FI, FO, GL, NO, SE
PLAB	PostNord Sverige AB	P30	PostNord MyPack Home Small	SE	SE
PLAB	PostNord Sverige AB	P17DPD	PostNord MyPack Home utanför Norden (Sverige)	SE	AT, BE, CH, CZ, DE, EE, ES, FR, GB, HR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RS, SI, SK
PLAB	PostNord Sverige AB	P90	PostNord MyPack SameDay	SE	*
PLAB	PostNord Sverige AB	P54	PostNord PALL.ETT+	SE	SE
PLAB	PostNord Sverige AB	P52	PostNord Pallet	DK, FI, NO, SE	AT, AX, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA
PLAB	PostNord Sverige AB	P53	PostNord Pallet Special	SE	SE
PLAB	PostNord Sverige AB	P52S	PostNord Pallet Split Shipment	SE	FI, NO
PLAB	PostNord Sverige AB	P18	PostNord Parcel (Norden)	SE	AX, DK, FI, FO, GL, IS, NO, SE, SJ
PLAB	PostNord Sverige AB	P31	PostNord Parcel 09	SE	SE
PLAB	PostNord Sverige AB	P14	PostNord Parcel 12	SE	SE
PLAB	PostNord Sverige AB	P15	PostNord Parcel (inom Sverige)	SE	SE
PLAB	PostNord Sverige AB	P18DPD	PostNord Parcel (Norden)	SE	*
PLAB	PostNord Sverige AB	P85	PostNord Part Loads	SE	AT, AX, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR, UA
PLAB	PostNord Sverige AB	P13CDR	PostNord Postpaket (CDR)	*	*
PLAB	PostNord Sverige AB	P27CDR	PostNord Postpaket kontant  (CDR)	*	*
PLAB	PostNord Sverige AB	P98	PostNord Postpaket Utrikes import EPG	*	*
PLAB	PostNord Sverige AB	P92	PostNord Postpaket Utrikes import UPU (92)	*	*
PLAB	PostNord Sverige AB	P97	PostNord Postpaket Utrikes import UPU (97)	*	*
PLAB	PostNord Sverige AB	P59	PostNord Retail Delivery	AX, DK, FI, NO, SE	AX, DE, DK, EE, FI, LT, LV, NO, PL, SE
PLAB	PostNord Sverige AB	P24	PostNord Return Drop Off	DK, NO, SE	AX, DK, FI, IE, NO, PL, SE
PLAB	PostNord Sverige AB	P24DPD	PostNord Return Drop Off	SE	AT, BE, DE, EE, ES, FR, GB, LT, LU, LV, NL, PT
PLAB	PostNord Sverige AB	P22R	PostNord Return Pickup	SE	SE
PLAB	PostNord Sverige AB	P20	PostNord Return Pickup (Norden)	AX, DK, FI, NO, SE	AX, DK, FI, NO, SE
PLAB	PostNord Sverige AB	P57SL	PostNord Servicelogistik	SE	SE
PLAB	PostNord Sverige AB	P37	PostNord Tompallsdistribution	SE	SE
PLAB	PostNord Sverige AB	P37INTERNAL	PostNord Tompallsdistribution (intern)	SE	SE
PLSCM	PostNord Oy	DOMROAD	PostNord Domestic Road	FI	AX, FI
PLSCM	PostNord Oy	DPDFI	PostNord DPD Classic (Finland)	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HU, IE, IT, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK	*
PLSCM	PostNord Oy	PFIEXL	PostNord Express Letter	FI	AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EE, EG, EH, ER, ES, ET, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, IC, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, XZ, YE, YT, ZA, ZM, ZW
PLSCM	PostNord Oy	PFIGBP	PostNord Global Parcel	FI	*
PLSCM	PostNord Oy	P83FI	PostNord Groupage FI	AX, FI	AX, DK, FI, NO, SE
PLSCM	PostNord Oy	PFILEC	PostNord Letter Economy	FI	*
PLSCM	PostNord Oy	PFILPR	PostNord Letter Priority	FI	*
PLSCM	PostNord Oy	P19FI	PostNord MyPack Collect FI	FI	AX, DK, FI, NO, SE
PLSCM	PostNord Oy	P19FIDPD	PostNord MyPack Collect FI	FI	AT, BE, DE, EE, ES, FR, GB, LT, LU, LV, NL
PLSCM	PostNord Oy	P17FI	PostNord MyPack Home FI	FI	AX, DK, FI, NO, SE
PLSCM	PostNord Oy	P17FIDPD	PostNord MyPack Home	FI	AT, BE, CH, CZ, DE, EE, ES, FR, GB, HR, HU, IE, IT, LT, LU, LV, NL, PL, PT, SI, SK
PLSCM	PostNord Oy	P24FIDPD	PostNord Return Drop Off	FI	AT, BE, DE, EE, ES, FR, GB, LT, LU, LV, NL
PLSCM	PostNord Oy	P52FI	PostNord PALL.ETT (Finland)	AX, FI	AT, AX, BA, BE, BG, BY, CH, CZ, DE, DK, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LU, ME, MK, NL, NO, PT, RO, RS, SE, SI, SK, TR, UA
PLSCM	PostNord Oy	P52FIDPD	PostNord PALL.ETT (Finland)	FI	EE, LT, LV, PL
PLSCM	PostNord Oy	P18FI	PostNord Parcel FI	FI	AX, DK, FI, FO, GL, IS, NO, SE, SJ
PLSCM	PostNord Oy	P18FIDPD	PostNord Parcel FI	FI	AT, BA, BE, BG, CH, CZ, DE, EE, ES, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LI, LT, LU, LV, MC, NL, PL, PT, RO, RS, SI, SK, UA, VA
PLSCM	PostNord Oy	P24FI	PostNord Return Drop Off	FI	AX, DK, FI, NO, SE
PNL	Bring Parcels AB	PNL336	Bring Business Pallet	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, SE, SI, SK	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HU, IE, IS, IT, LT, LU, LV, NL, NO, PL, PT, SE, SI, SK
PNL	Bring Parcels AB	PNL330	Bring Business Parcel	DK, FI, SE	*
PNL	Bring Parcels AB	PNL332	Bring Business Parcel Bulk	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GG, GR, HR, HU, IE, IM, IS, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	DE, DK, EE, FI, FO, GB, GG, IM, IS, JE, NL, NO, SE
PNL	Bring Parcels AB	PNL331	Bring Business Parcel Return	DK, FI, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL333	Bring Business Parcel Return Bulk	DK, FI, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNLWAY	Bring CarryOn Waybill	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	*
PNL	Bring Parcels AB	PNL335	Bring Express Nordic 09:00	SE	SE
PNL	Bring Parcels AB	PNL334	Bring Express Nordic 09:00 Bulk	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	NO, SE
PNL	Bring Parcels AB	PNL339	Bring Express Nordic 09:00 Pallet	SE	SE
PNL	Bring Parcels AB	PNL349	Bring Home Delivery Parcel	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL348	Bring Home Delivery Parcel Return	DK, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL340	Bring PickUp Parcel	DK, FI, SE	*
PNL	Bring Parcels AB	PNL342	Bring PickUp Parcel Bulk	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	DE, DK, EE, FI, FO, GB, IS, NL, NO, SE
PNL	Bring Parcels AB	PNL341	Bring PickUp Parcel Return	DK, FI, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL343	Bring PickUp Parcel Return Bulk	DK, FI, SE	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO336	Bring Business Pallet	NO	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GI, GR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, SE, SI, SK
PNLNO	Bring Parcels Norge (utrikes)	PNLNO330	Bring Business Parcel	NO	AR, AT, AU, AX, BE, BG, BR, BY, CA, CH, CL, CN, CU, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HK, HR, HU, ID, IE, IN, IS, IT, JP, KR, LT, LU, LV, MC, ME, MT, MY, NL, NZ, PH, PL, PT, RO, RS, RU, SA, SE, SG, SI, SK, TH, TR, TW, UA, US, ZA
PNLNO	Bring Parcels Norge (utrikes)	PNLNO332	Bring Business Parcel Bulk	NO	DE, DK, EE, FI, FO, GB, GG, IM, IS, JE, NL, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO331	Bring Business Parcel Return	NO	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO333	Bring Business Parcel Return Bulk	NO	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNOWAY	Bring CarryOn Waybill	NO	*
PNLNO	Bring Parcels Norge (utrikes)	PNLNO334	Bring Express Nordic 09:00 Bulk	NO	SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO349	Bring Home Delivery Parcel	NO	DK, FI, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO340	Bring PickUp Parcel	NO	AT, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, SE, SI, SK, US
PNLNO	Bring Parcels Norge (utrikes)	PNLNO342	Bring PickUp Parcel Bulk	NO	DE, DK, EE, FI, FO, GB, IS, NL, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO341	Bring PickUp Parcel Return	NO	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO343	Bring PickUp Parcel Return Bulk	NO	DK, FI, NO, SE
POSTI	Posti Oy, Paket och transportenheter	PO5006	Posti - Assurerad försändelse	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO5004	Posti - Brev med mottagningsbevis	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO5002	Posti - Economy-brev med postförskott	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2017	Posti - EMS	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	PO2017D	Posti - EMS DocPack	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	PO5001	Posti - Express brev	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	ITKY14I	Posti - Express Business Day pallet (Utrikes)	DK, EE, FI, LT, LV, NO, PL, SE	DK, EE, FI, LT, LV, NO, PL, SE
